Name,Position,Club,Age,Matches Played,Starts,Minutes,Goals,Assists,Goals & Assists
Gabriel Martinelli,"FW,MF",Arsenal,23,33,25,2290,8,4,12
Emiliano Martínez,GK,Aston Villa,31,37,37,3194,0,0,0
Lisandro Martínez,DF,Manchester Utd,26,20,20,1751,2,1,3
Pape Matar Sarr,MF,Tottenham,21,36,22,1913,3,2,5
Jean-Philippe Mateta,FW,Crystal Palace,27,37,33,2648,14,2,16
Stephy Mavididi,FW,Leicester City,26,30,16,1615,4,1,5
Konstantinos Mavropanos,DF,West Ham,26,33,21,2045,0,0,0
Noussair Mazraoui,DF,Manchester Utd,26,37,34,2838,0,1,1
Bryan Mbeumo,FW,Brentford,24,38,38,3414,20,7,27
James Mcatee,"MF,FW",Manchester City,21,15,3,349,3,0,3
Kasey McAteer,FW,Leicester City,22,18,9,852,1,1,2
Alex McCarthy,GK,Southampton,34,5,5,450,0,0,0
John McGinn,"MF,FW",Aston Villa,29,34,27,2223,1,4,5
Dwight McNeil,"MF,FW",Everton,24,21,15,1371,4,6,10
Scott McTominay,MF,Manchester Utd,27,2,0,19,0,0,0
Ben Mee,DF,Brentford,34,7,2,183,0,0,0
Jayden Meghoma,DF,Brentford,18,1,0,5,0,0,0
Mikel Merino,"MF,FW",Arsenal,28,28,17,1586,7,2,9
Shumaira Mheuka,MF,Chelsea,16,1,0,1,0,0,0
Nikola Milenković,DF,Nott'ham Forest,26,37,37,3330,5,2,7
Lewis Miley,MF,Newcastle Utd,18,14,1,313,1,0,1
James Milner,MF,Brighton,38,4,3,170,0,0,0
Tyrone Mings,DF,Aston Villa,31,14,12,1120,0,0,0
Yankuba Minteh,"FW,MF",Brighton,20,32,20,1838,6,4,10
Tyrick Mitchell,DF,Crystal Palace,24,37,37,3092,0,5,5
Kaoru Mitoma,"FW,MF",Brighton,27,36,28,2603,10,4,14
Jakub Moder,MF,Brighton,25,4,0,11,0,0,0
Jeremy Monga,"FW,MF",Leicester City,,7,0,112,0,0,0
Mikey Moore,FW,Tottenham,16,10,3,366,0,1,1
Morato,DF,Nott'ham Forest,23,26,6,907,0,0,0
Álex Moreno,"DF,MF",Nott'ham Forest,31,15,11,955,0,1,1
Sam Morsy,MF,Ipswich Town,32,33,31,2751,1,1,2
Yerson Mosquera,DF,Wolves,23,5,5,441,0,0,0
Mason Mount,MF,Manchester Utd,25,17,8,622,1,0,1
Divin Mubama,FW,Manchester City,19,1,0,28,0,0,0
Mykhailo Mudryk,FW,Chelsea,23,7,1,151,0,0,0
Marshall Munetsi,"MF,FW",Wolves,28,14,12,1078,2,1,3
Rodrigo Muniz,FW,Fulham,23,31,8,964,8,1,9
Daniel Muñoz,DF,Crystal Palace,28,37,37,3228,4,5,9
Arijanet Muric,GK,Ipswich Town,25,18,18,1620,0,0,0
Murillo,DF,Nott'ham Forest,22,36,36,3188,2,0,2
Jacob Murphy,FW,Newcastle Utd,29,35,31,2360,8,12,20
Vitaliy Mykolenko,DF,Everton,25,35,35,3082,1,2,3
Iliman Ndiaye,FW,Everton,24,33,29,2430,9,0,9
Wilfred Ndidi,MF,Leicester City,27,28,28,2324,0,5,5
Kosta Nedeljković,DF,Aston Villa,18,5,0,126,0,0,0
Reiss Nelson,FW,Arsenal,24,1,0,3,0,0,0
Reiss Nelson,FW,Fulham,24,11,5,487,1,1,2
Neto,GK,Bournemouth,35,2,2,180,0,0,0
Pedro Neto,FW,Chelsea,24,35,24,2269,4,6,10
Eddie Nketiah,"FW,MF",Crystal Palace,25,29,9,1034,3,1,4
Christopher Nkunku,FW,Chelsea,26,27,9,921,3,2,5
Gustavo Nunes,"FW,MF",Brentford,18,3,0,12,0,0,0
Matheus Nunes,"DF,MF",Manchester City,25,26,19,1674,1,6,7
Darwin Núñez,FW,Liverpool,25,30,8,1133,5,2,7
Ethan Nwaneri,"FW,MF",Arsenal,17,26,11,895,4,2,6
Christian Nørgaard,MF,Brentford,30,34,34,2819,5,4,9
Jake O'Brien,DF,Everton,23,20,17,1571,2,0,2
Matt O'Riley,MF,Brighton,23,21,11,938,2,2,4
Dara O'Shea,DF,Ipswich Town,25,35,35,3122,0,2,2
Chidozie Obi-Martin,FW,Manchester Utd,16,7,1,165,0,0,0
Wilson Odobert,"FW,MF",Tottenham,19,16,9,850,1,0,1
Chiedozie Ogbene,FW,Ipswich Town,27,5,3,238,0,0,0
